Time,HumanVelocity,RobotVelocity,InteractionForce
0.972,0.0878511965507432,0.0909802039035701,-0.00178262070188692
0.973,0.0847213221420736,0.0878511965507432,-0.00173396398774706
0.974,0.0815906115681579,0.0847213221420736,-0.0016852866318587
0.975,0.0784590957278451,0.0815906115681579,-0.00163658911994059
0.976,0.075326805527933,0.0784590957278451,-0.00158787193795187
0.977,0.0721937718828607,0.075326805527933,-0.00153913557209318
0.978,0.0690600257144061,0.0721937718828607,-0.00149038050879856
0.979,0.0659255979513779,0.0690600257144061,-0.00144160723473264
0.98,0.0627905195293136,0.0659255979513779,-0.00139281623678184
0.981,0.0596548213901707,0.0627905195293136,-0.00134400800205575
0.982,0.0565185344820247,0.0596548213901707,-0.00129518301787196
0.983,0.0533816897587608,0.0565185344820247,-0.00124634177176517
0.984,0.0502443181797697,0.0533816897587608,-0.00119748475146951
0.985,0.047106450709643,0.0502443181797697,-0.00114861244491626
0.986,0.043968118317865,0.047106450709643,-0.00109972534023978
0.987,0.0408293519785102,0.043968118317865,-0.00105082392575403
0.988,0.0376901826699345,0.0408293519785102,-0.00100190868996374
0.989,0.0345506413744725,0.0376901826699345,-0.000952980121551372
0.99,0.0314107590781282,0.0345506413744725,-0.000904038709371473
0.991,0.0282705667702734,0.0314107590781282,-0.000855084942453078
0.992,0.0251300954433378,0.0282705667702734,-0.000806119309984148
0.993,0.0219893760925052,0.0251300954433378,-0.000757142301317837
0.994,0.0188484397154085,0.0219893760925052,-0.000708154405953979
0.995,0.0157073173118207,0.0188484397154085,-0.000659156113550671
0.996,0.0125660398833528,0.0157073173118207,-0.000610147913904235
0.997,0.00942463843314399,0.0125660398833528,-0.000561130296953386
0.998,0.00628314396555913,0.00942463843314399,-0.00051210375276828
0.999,0.00314158748587949,0.00628314396555913,-0.000463068771553975
1,1.22464679914735e-16,0.00314158748587949,-0.000414025843631737
1.001,-0.00314158748587969,1.22464679914735e-16,-0.000364975459451648
1.002,-0.00628314396555888,-0.00314158748587969,-0.000315918109568974
1.003,-0.00942463843314419,-0.00628314396555888,-0.000266854284657481
1.004,-0.0125660398833526,-0.00942463843314419,-0.000217784475485799
1.005,-0.0157073173118209,-0.0125660398833526,-0.000168709172930029
1.006,-0.0188484397154082,-0.0157073173118209,-0.000119628867955026
1.007,-0.0219893760925054,-0.0188484397154082,-7.05440516178615e-05
1.008,-0.0251300954433376,-0.0219893760925054,-2.14552150568409e-05
1.009,-0.0282705667702736,-0.0251300954433376,2.76371505043382e-05
1.01,-0.031410759078128,-0.0282705667702736,7.67325537767676e-05
1.011,-0.0345506413744727,-0.031410759078128,0.000125830503394106
1.012,-0.0376901826699343,-0.0345506413744727,0.000174930507932888
1.013,-0.0408293519785104,-0.0376901826699343,0.000224032075903423
1.014,-0.0439681183178647,-0.0408293519785104,0.000273134715768824
1.015,-0.0471064507096427,-0.0439681183178647,0.000322237935938447
1.016,-0.0502443181797694,-0.0471064507096427,0.000371341244781023
